# 以下のメニューは株式会社サイゼリヤ様のメニュー情報を使用しています。
# 引用元: https://www.saizeriya.co.jp/PDF/irpdf000788.pdf
前菜	トッピング半熟卵	50
前菜	やみつきスパイス	50
キッズ	おこさまポテト	100
飲み物	キッズドリンクバー	100
パン・ライス	スモールライス	100
パン・ライス	セットプチフォッカ	100
前菜	トッピングチーズ	100
前菜	フルーツソース(カシス&ブルーベリー)	100
前菜	ペコリーノ・ロマーノ	100
ワイン	白グラスワイン	100
ワイン	赤グラスワイン	100
前菜	野菜ペースト	100
キッズ	おこさまポップコーンシュリンプ	150
前菜	ガルムソース&野菜ペースト	150
スープ	コーンクリームスープ	150
パン・ライス	プチフォッカ	150
パン・ライス	ミニフィセル(パン)	150
パン・ライス	ライス	150
スープ	冷たいパンプキンスープ	150
デザート	アマレーナ	200
パン・ライス	ガーリックトースト	200
デザート	シナモンプチフォッカ	200
デザート	すっきりレモンのシャーベット	200
飲み物	セットドリンクバー	200
前菜	ほうれん草のソテー	200
前菜	ミニキュウリのピクルス	200
デザート	ミルクジェラート	200
パン・ライス	ラージライス	200
前菜	柔らか青豆の温サラダ	200
ワイン	白デカンタ小	200
ワイン	赤デカンタ小	200
前菜	アスパラガスの温サラダ	250
デザート	イタリアンプリン	250
アルコール	オールフリー	250
前菜	半熟卵のほうれん草のソテー	250
スパゲッティ	アーリオ・オーリオ	300
デザート	いちごソースのパンナコッタ	300
キッズ	おこさまタラコスパゲッティ	300
キッズ	おこさまミートスパゲッティ	300
アルコール	グラスビール	300
デザート	コーヒーゼリー	300
スープ	たまねぎのズッパ	300
デザート	チョコレートケーキ	300
デザート	ティラミス　クラシコ	300
前菜	フリウリ風フリコ	300
前菜	フレッシュチーズとトマトのサラダ	300
前菜	ペコリーノチーズの柔らか青豆の温サラダ	300
スパゲッティ	ペペロンチーノ	300
前菜	ポップコーンシュリンプ	300
スープ	ミネストローネロッソ	300
ドリア・グラタン	ミラノ風ドリア	300
ワイン	ラコンブリッコラ(グラス)	300
飲み物	単品ドリンクバー	300
前菜	熟成ミラノサラミ	300
前菜	辛味チキン	300
アルコール	ストロングゼロダブルレモン	350
前菜	スパイシーフリコ	350
サラダ	チキンとブロッコリーのサラダ	350
デザート	トリフアイスクリーム	350
デザート	ミルクアイスのせシナモンプチフォッカ	350
サラダ	わかめとオクラのサラダ	350
ドリア・グラタン	半熟卵のミラノ風ドリア	350
サラダ	小エビのサラダ	350
サラダ	彩りイタリアンサラダ	350
スパゲッティ	アラビアータ	400
前菜	アロスティチーニ（ラムの串焼き）	400
ピザ	アンチョビとルーコラのピザ	400
前菜	アンチョビのフリコ	400
ドリア・グラタン	いろどり野菜のミラノ風ドリア	400
前菜	エスカルゴのオーブン焼き	400
ドリア・グラタン	エビクリームグラタン	400
米料理	エビと野菜のトマトクリームリゾット	400
アルコール	ジョッキ	400
ピザ	たっぷりコーンのピザ	400
ピザ	たらこクリームのピザ	400
スパゲッティ	タラコソースシシリー風	400
ドリア・グラタン	チーズたっぷりミラノ風ドリア	400
前菜	チョリソー	400
デザート	とろけるティラミス＆コーヒーゼリー	400
スパゲッティ	パルマ風スパゲッティ	400
ピザ	パンチェッタのピザ	400
肉料理	ハンバーグステーキ	400
デザート	ブラッドオレンジのパンナコッタ	400
デザート	プリンとアマレーナの盛り合わせ	400
前菜	プロシュート	400
ドリア・グラタン	ほうれん草のグラタン	400
ピザ	マルゲリータピザ	400
スパゲッティ	ミートソースボロニア風	400
前菜	ムール貝のガーリック焼き	400
ワイン	白デカンタ大	400
ワイン	赤デカンタ大	400
ピザ	野菜ときのこのピザ	400
ピザ	半熟卵のパンチェッタのピザ	450
スパゲッティ	半熟卵のミートソース	450
スパゲッティ	大盛りスパ（アーリオ・オーリオ	450
スパゲッティ	大盛りスパ（ペペロンチーノ	450
ピザ	(Tチーズ)アンチョビとルーコラのピザ	500
ピザ	(Tチーズ)たっぷりコーンのピザ	500
ピザ	(Tチーズ)たらこクリームのピザ	500
ピザ	(Tチーズ)パンチェッタのピザ	500
ピザ	(Tチーズ)マルゲリータピザ	500
ピザ	(Tチーズ)野菜ときのこのピザ	500
テイクアウト	TOドレッシング	500
スパゲッティ	イカの墨入りスパゲッティ	500
肉料理	イタリアンハンバーグ	500
スパゲッティ	エビとブロッコリーのオーロラソース	500
